Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
10, 8, MN301, 11, 41134, 12.8, 20.4, 49.6, 15.87, -33.73, 0.1, 0.1, 
10, 8, MN302, 12, 61583, 12.8, 20.4, 34.71, 12.81, -21.9, 0.1, 0.12, 
10, 8, MN303, 13, 10582, 12.8, 20.4, 41.9, 14.54, -27.36, 0.1, 0.11, 
10, 8, MN304, 14, 29110, 12.8, 20.4, 53.33, 19.97, -33.36, 0.1, 0.16, 
10, 8, MN400, 15, 1544, 12.2, 20.7, 55.21, 17.34, -37.87, 0.09, 0.13, 
10, 8, MN401, 16, 15305, 12.2, 20.7, 55.38, 20.04, -35.34, 0.09, 0, 
10, 8, MN402, 17, 27990, 12.2, 20.7, 34.09, 12.97, -21.12, 0.09, 0.16, 
10, 8, MN403, 18, 1292, 12.2, 20.7, 40.32, 16.93, -23.39, 0.09, 0.05, 
10, 8, MN404, 19, 108539, 12.2, 20.7, 43.98, 17.91, -26.07, 0.09, 0.14, 
10, 8, MN500, 20, 55, 11.3, 21.2, 65.56, 24.77, -40.79, 0.09, 0, 
10, 8, MN504, 21, 14401, 11.3, 21.2, 51.64, 21.45, -30.19, 0.09, 0.14, 
10, 9, MN101, 1, 10773, 3.6, 16.2, 58.86, 19.73, -39.14, 0.05, 0, 
10, 9, MN102, 2, 8590, 3.6, 16.2, 11.38, 11.65, 0.27, 0.05, 0, 
10, 9, MN103, 3, 8809, 3.6, 16.2, 17.15, 11.09, -6.06, 0.05, 0, 
10, 9, MN104, 4, 5138, 3.6, 16.2, 27.98, 13.14, -14.84, 0.05, 0, 
10, 9, MN200, 5, 7713, 3.3, 16.8, 28.18, 15.22, -12.96, 0.04, 0, 
10, 9, MN201, 6, 42783, 3.3, 16.8, 32.73, 13.72, -19, 0.04, 0, 
10, 9, MN202, 7, 17504, 3.3, 16.8, 29.91, 12.24, -17.67, 0.04, 0, 
10, 9, MN203, 8, 1202, 3.3, 16.8, 13.08, 12.72, -0.36, 0.04, 0, 
10, 9, MN204, 9, 14335, 3.3, 16.8, 13.48, 10.04, -3.44, 0.04, 0, 
10, 9, MN300, 10, 8832, 3.6, 17.2, 26.42, 16.77, -9.65, 0.04, 0, 
10, 9, MN301, 11, 41134, 3.6, 17.2, 30.88, 14.96, -15.93, 0.04, 0, 
10, 9, MN302, 12, 61583, 3.6, 17.2, 14.42, 11.86, -2.55, 0.04, 0, 
10, 9, MN303, 13, 10582, 3.6, 17.2, 23.74, 13.28, -10.47, 0.04, 0, 
10, 9, MN304, 14, 29110, 3.6, 17.2, 35.04, 18.07, -16.97, 0.04, 0, 
10, 9, MN400, 15, 1544, 3.1, 17.4, 36.19, 15.68, -20.52, 0.04, 0, 
10, 9, MN401, 16, 15305, 3.1, 17.4, 31.31, 18.63, -12.69, 0.04, 0, 
10, 9, MN402, 17, 27990, 3.1, 17.4, 17.78, 11.65, -6.13, 0.04, 0, 
10, 9, MN403, 18, 1292, 3.1, 17.4, 14.98, 15.18, 0.2, 0.04, 0, 
10, 9, MN404, 19, 108539, 3.1, 17.4, 27.48, 16.03, -11.45, 0.04, 0, 
10, 9, MN500, 20, 55, 2.9, 17.8, 41.4, 23.08, -18.32, 0.04, 0, 
10, 9, MN504, 21, 14401, 2.9, 17.8, 29.2, 19.77, -9.43, 0.04, 0, 
10, 10, MN101, 1, 10773, 2.7, 5.6, 10.86, 10.53, -0.33, 0.04, 0, 
10, 10, MN102, 2, 8590, 2.7, 5.6, 8, 6.01, -1.99, 0.04, 0, 
10, 10, MN103, 3, 8809, 2.7, 5.6, 10.13, 5.76, -4.37, 0.04, 0, 
10, 10, MN104, 4, 5138, 2.7, 5.6, 11.23, 6.89, -4.33, 0.04, 0, 
10, 10, MN200, 5, 7713, 1.7, 5.7, 11.37, 7.76, -3.61, 0.03, 0, 
10, 10, MN201, 6, 42783, 1.7, 5.7, 10.72, 7.04, -3.68, 0.03, 0, 
10, 10, MN202, 7, 17504, 1.7, 5.7, 9.49, 6.37, -3.12, 0.03, 0, 
10, 10, MN203, 8, 1202, 1.7, 5.7, 7.5, 6.37, -1.13, 0.03, 0, 
10, 10, MN204, 9, 14335, 1.7, 5.7, 6.78, 5.05, -1.73, 0.03, 0, 
10, 10, MN300, 10, 8832, 2.5, 6.7, 13.4, 8.76, -4.64, 0.04, 0, 
10, 10, MN301, 11, 41134, 2.5, 6.7, 13.54, 7.91, -5.63, 0.04, 0, 
10, 10, MN302, 12, 61583, 2.5, 6.7, 10.22, 6.19, -4.03, 0.04, 0, 
10, 10, MN303, 13, 10582, 2.5, 6.7, 13.03, 6.99, -6.03, 0.04, 0, 
10, 10, MN304, 14, 29110, 2.5, 6.7, 13.14, 9.54, -3.6, 0.04, 0, 
10, 10, MN400, 15, 1544, 1.8, 6.6, 15, 8.13, -6.87, 0.03, 0, 
10, 10, MN401, 16, 15305, 1.8, 6.6, 13.75, 9.65, -4.1, 0.03, 0, 
10, 10, MN402, 17, 27990, 1.8, 6.6, 9.68, 6.08, -3.6, 0.03, 0, 
10, 10, MN403, 18, 1292, 1.8, 6.6, 8.39, 7.77, -0.62, 0.03, 0, 
10, 10, MN404, 19, 108539, 1.8, 6.6, 12.53, 8.24, -4.28, 0.03, 0, 
10, 10, MN500, 20, 55, 2, 7.2, 16.89, 12.3, -4.59, 0.04, 0, 
10, 10, MN504, 21, 14401, 2, 7.2, 16.75, 10.23, -6.53, 0.04, 0, 
10, 11, MN101, 1, 10773, 3.5, -2.1, 0, 6.55, 6.55, 0.04, 0, 
10, 11, MN102, 2, 8590, 3.5, -2.1, 0, 3.76, 3.76, 0.04, 0, 
10, 11, MN103, 3, 8809, 3.5, -2.1, 0, 3.61, 3.61, 0.04, 0, 
10, 11, MN104, 4, 5138, 3.5, -2.1, 0, 4.33, 4.33, 0.04, 0, 
10, 11, MN200, 5, 7713, 3, -2.2, 0, 4.77, 4.77, 0.04, 0, 
10, 11, MN201, 6, 42783, 3, -2.2, 0, 4.32, 4.32, 0.04, 0, 
10, 11, MN202, 7, 17504, 3, -2.2, 0, 3.9, 3.9, 0.04, 0, 
10, 11, MN203, 8, 1202, 3, -2.2, 0, 3.9, 3.9, 0.04, 0, 
10, 11, MN204, 9, 14335, 3, -2.2, 0, 3.09, 3.09, 0.04, 0, 
10, 11, MN300, 10, 8832, 3.3, -1.3, 0, 5.34, 5.34, 0.04, 0, 
10, 11, MN301, 11, 41134, 3.3, -1.3, 0, 4.84, 4.84, 0.04, 0, 
10, 11, MN302, 12, 61583, 3.3, -1.3, 0, 3.78, 3.78, 0.04, 0, 
10, 11, MN303, 13, 10582, 3.3, -1.3, 0, 4.28, 4.28, 0.04, 0, 
10, 11, MN304, 14, 29110, 3.3, -1.3, 0, 5.83, 5.83, 0.04, 0, 
10, 11, MN400, 15, 1544, 3.5, -1.6, 0, 4.95, 4.95, 0.04, 0, 
10, 11, MN401, 16, 15305, 3.5, -1.6, 0, 5.83, 5.83, 0.04, 0, 
10, 11, MN402, 17, 27990, 3.5, -1.6, 0, 3.66, 3.66, 0.04, 0, 
10, 11, MN403, 18, 1292, 3.5, -1.6, 0, 4.7, 4.7, 0.04, 0, 
10, 11, MN404, 19, 108539, 3.5, -1.6, 0, 4.98, 4.98, 0.04, 0, 
10, 11, MN500, 20, 55, 3.4, -1.2, 0, 7.37, 7.37, 0.04, 0, 
10, 11, MN504, 21, 14401, 3.4, -1.2, 0, 6.12, 6.12, 0.04, 0, 
10, 12, MN101, 1, 10773, 4.4, -7.2, 0, 4.76, 4.76, 0.05, 0, 
10, 12, MN102, 2, 8590, 4.4, -7.2, 0, 2.74, 2.74, 0.05, 0, 
10, 12, MN103, 3, 8809, 4.4, -7.2, 0, 2.63, 2.63, 0.05, 0, 
10, 12, MN104, 4, 5138, 4.4, -7.2, 0, 3.18, 3.18, 0.05, 0, 
10, 12, MN200, 5, 7713, 3.4, -7.4, 0, 3.46, 3.46, 0.04, 0, 
10, 12, MN201, 6, 42783, 3.4, -7.4, 0, 3.13, 3.13, 0.04, 0, 
10, 12, MN202, 7, 17504, 3.4, -7.4, 0, 2.83, 2.83, 0.04, 0, 
10, 12, MN203, 8, 1202, 3.4, -7.4, 0, 2.83, 2.83, 0.04, 0, 
10, 12, MN204, 9, 14335, 3.4, -7.4, 0, 2.25, 2.25, 0.04, 0, 
10, 12, MN300, 10, 8832, 4.2, -6.4, 0, 3.91, 3.91, 0.05, 0, 
10, 12, MN301, 11, 41134, 4.2, -6.4, 0, 3.53, 3.53, 0.05, 0, 
10, 12, MN302, 12, 61583, 4.2, -6.4, 0, 2.76, 2.76, 0.05, 0, 
10, 12, MN303, 13, 10582, 4.2, -6.4, 0, 3.14, 3.14, 0.05, 0, 
10, 12, MN304, 14, 29110, 4.2, -6.4, 0, 4.27, 4.27, 0.05, 0, 
10, 12, MN400, 15, 1544, 3.3, -6.7, 0, 3.63, 3.63, 0.04, 0, 
10, 12, MN401, 16, 15305, 3.3, -6.7, 0, 4.26, 4.26, 0.04, 0, 
10, 12, MN402, 17, 27990, 3.3, -6.7, 0, 2.68, 2.68, 0.04, 0, 
10, 12, MN403, 18, 1292, 3.3, -6.7, 0, 3.45, 3.45, 0.04, 0, 
10, 12, MN404, 19, 108539, 3.3, -6.7, 0, 3.65, 3.65, 0.04, 0, 
10, 12, MN500, 20, 55, 3, -6, 0, 5.46, 5.46, 0.04, 0, 
10, 12, MN504, 21, 14401, 3, -6, 0, 4.54, 4.54, 0.04, 0, 
10, 1, MN101, 1, 10773, 1.5, -9.7, 0, 4.08, 4.08, 0.03, 0, 
10, 1, MN102, 2, 8590, 1.5, -9.7, 0, 2.35, 2.35, 0.03, 0, 
10, 1, MN103, 3, 8809, 1.5, -9.7, 0, 2.26, 2.26, 0.03, 0, 
10, 1, MN104, 4, 5138, 1.5, -9.7, 0, 2.74, 2.74, 0.03, 0, 
10, 1, MN200, 5, 7713, 1.3, -10.5, 0, 2.85, 2.85, 0.03, 0, 
10, 1, MN201, 6, 42783, 1.3, -10.5, 0, 2.58, 2.58, 0.03, 0, 
10, 1, MN202, 7, 17504, 1.3, -10.5, 0, 2.34, 2.34, 0.03, 0, 
10, 1, MN203, 8, 1202, 1.3, -10.5, 0, 2.34, 2.34, 0.03, 0, 
10, 1, MN204, 9, 14335, 1.3, -10.5, 0, 1.86, 1.86, 0.03, 0, 
10, 1, MN300, 10, 8832, 1.3, -9, 0, 3.33, 3.33, 0.03, 0, 
10, 1, MN301, 11, 41134, 1.3, -9, 0, 3.01, 3.01, 0.03, 0, 
10, 1, MN302, 12, 61583, 1.3, -9, 0, 2.35, 2.35, 0.03, 0, 
10, 1, MN303, 13, 10582, 1.3, -9, 0, 2.68, 2.68, 0.03, 0, 
10, 1, MN304, 14, 29110, 1.3, -9, 0, 3.65, 3.65, 0.03, 0, 
10, 1, MN400, 15, 1544, 1.2, -9.5, 0, 3.07, 3.07, 0.03, 0, 
10, 1, MN401, 16, 15305, 1.2, -9.5, 0, 3.57, 3.57, 0.03, 0, 
10, 1, MN402, 17, 27990, 1.2, -9.5, 0, 2.25, 2.25, 0.03, 0, 
10, 1, MN403, 18, 1292, 1.2, -9.5, 0, 2.91, 2.91, 0.03, 0, 
10, 1, MN404, 19, 108539, 1.2, -9.5, 0, 3.07, 3.07, 0.03, 0, 
10, 1, MN500, 20, 55, 1.3, -8.8, 0, 4.59, 4.59, 0.03, 0, 
10, 1, MN504, 21, 14401, 1.3, -8.8, 0, 3.83, 3.83, 0.03, 0, 
10, 2, MN101, 1, 10773, 1.3, -8.7, 0, 4.31, 4.31, 0.03, 0, 
10, 2, MN102, 2, 8590, 1.3, -8.7, 0, 2.49, 2.49, 0.03, 0, 
10, 2, MN103, 3, 8809, 1.3, -8.7, 0, 2.39, 2.39, 0.03, 0, 
10, 2, MN104, 4, 5138, 1.3, -8.7, 0, 2.92, 2.92, 0.03, 0, 
10, 2, MN200, 5, 7713, 0.9, -8.7, 0, 3.17, 3.17, 0.03, 0, 
10, 2, MN201, 6, 42783, 0.9, -8.7, 0, 2.87, 2.87, 0.03, 0, 
10, 2, MN202, 7, 17504, 0.9, -8.7, 0, 2.6, 2.6, 0.03, 0, 
10, 2, MN203, 8, 1202, 0.9, -8.7, 0, 2.61, 2.61, 0.03, 0, 
10, 2, MN204, 9, 14335, 0.9, -8.7, 0, 2.08, 2.08, 0.03, 0, 
10, 2, MN300, 10, 8832, 1.4, -7.8, 0, 3.57, 3.57, 0.03, 0, 
10, 2, MN301, 11, 41134, 1.4, -7.8, 0, 3.22, 3.22, 0.03, 0, 
10, 2, MN302, 12, 61583, 1.4, -7.8, 0, 2.52, 2.52, 0.03, 0, 
10, 2, MN303, 13, 10582, 1.4, -7.8, 0, 2.88, 2.88, 0.03, 0, 
10, 2, MN304, 14, 29110, 1.4, -7.8, 0, 3.92, 3.92, 0.03, 0, 
10, 2, MN400, 15, 1544, 1, -7.8, 0, 3.41, 3.41, 0.03, 0, 
10, 2, MN401, 16, 15305, 1, -7.8, 0, 3.94, 3.94, 0.03, 0, 
10, 2, MN402, 17, 27990, 1, -7.8, 0, 2.49, 2.49, 0.03, 0, 
10, 2, MN403, 18, 1292, 1, -7.8, 0, 3.22, 3.22, 0.03, 0, 
10, 2, MN404, 19, 108539, 1, -7.8, 0, 3.4, 3.4, 0.03, 0, 
10, 2, MN500, 20, 55, 1.1, -7.4, 0, 4.98, 4.98, 0.03, 0, 
10, 2, MN504, 21, 14401, 1.1, -7.4, 0, 4.17, 4.17, 0.03, 0, 
10, 3, MN101, 1, 10773, 3.1, -2.1, 0, 6.36, 6.36, 0.04, 0, 
10, 3, MN102, 2, 8590, 3.1, -2.1, 0, 3.69, 3.69, 0.04, 0, 
10, 3, MN103, 3, 8809, 3.1, -2.1, 0, 3.55, 3.55, 0.04, 0, 
10, 3, MN104, 4, 5138, 3.1, -2.1, 0, 4.34, 4.34, 0.04, 0, 
10, 3, MN200, 5, 7713, 3.3, -2.3, 0, 4.67, 4.67, 0.04, 0, 
10, 3, MN201, 6, 42783, 3.3, -2.3, 0, 4.22, 4.22, 0.04, 0, 
10, 3, MN202, 7, 17504, 3.3, -2.3, 0, 3.82, 3.82, 0.04, 0, 
10, 3, MN203, 8, 1202, 3.3, -2.3, 0, 3.85, 3.85, 0.04, 0, 
10, 3, MN204, 9, 14335, 3.3, -2.3, 0, 3.07, 3.07, 0.04, 0, 
10, 3, MN300, 10, 8832, 3.4, -1.2, 0, 5.31, 5.31, 0.04, 0, 
10, 3, MN301, 11, 41134, 3.4, -1.2, 0, 4.79, 4.79, 0.04, 0, 
10, 3, MN302, 12, 61583, 3.4, -1.2, 0, 3.75, 3.75, 0.04, 0, 
10, 3, MN303, 13, 10582, 3.4, -1.2, 0, 4.29, 4.29, 0.04, 0, 
10, 3, MN304, 14, 29110, 3.4, -1.2, 0, 5.84, 5.84, 0.04, 0, 
10, 3, MN400, 15, 1544, 3.4, -1.3, 0, 5.04, 5.03, 0.04, 0, 
10, 3, MN401, 16, 15305, 3.4, -1.3, 0, 5.79, 5.79, 0.04, 0, 
10, 3, MN402, 17, 27990, 3.4, -1.3, 0, 3.67, 3.67, 0.04, 0, 
10, 3, MN403, 18, 1292, 3.4, -1.3, 0, 4.75, 4.75, 0.04, 0, 
10, 3, MN404, 19, 108539, 3.4, -1.3, 0, 5.02, 5.02, 0.04, 0, 
10, 3, MN500, 20, 55, 3.8, -0.9, 0, 7.3, 7.3, 0.05, 0, 
10, 3, MN504, 21, 14401, 3.8, -0.9, 0, 6.13, 6.13, 0.05, 0, 
10, 4, MN101, 1, 10773, 7.3, 3.8, 4.51, 9.03, 4.53, 0.07, 0, 
10, 4, MN102, 2, 8590, 7.3, 3.8, 9.32, 4.89, -4.44, 0.07, 0.16, 
10, 4, MN103, 3, 8809, 7.3, 3.8, 7.03, 5.05, -1.98, 0.07, 0.13, 
10, 4, MN104, 4, 5138, 7.3, 3.8, 7.08, 6.2, -0.88, 0.07, 0, 
10, 4, MN200, 5, 7713, 6.2, 3.5, 5.86, 6.54, 0.68, 0.06, 0, 
10, 4, MN201, 6, 42783, 6.2, 3.5, 5.12, 5.91, 0.8, 0.06, 0, 
10, 4, MN202, 7, 17504, 6.2, 3.5, 4.52, 5.36, 0.84, 0.06, 0, 
10, 4, MN203, 8, 1202, 6.2, 3.5, 7.87, 4.24, -3.63, 0.06, 0, 
10, 4, MN204, 9, 14335, 6.2, 3.5, 5.85, 3.65, -2.2, 0.06, 0, 
10, 4, MN300, 10, 8832, 7.4, 4.5, 6.86, 7.45, 0.59, 0.07, 0, 
10, 4, MN301, 11, 41134, 7.4, 4.5, 6.47, 6.69, 0.23, 0.07, 0, 
10, 4, MN302, 12, 61583, 7.4, 4.5, 7.33, 5.26, -2.07, 0.07, 0.15, 
10, 4, MN303, 13, 10582, 7.4, 4.5, 7.02, 6.02, -1, 0.07, 0, 
10, 4, MN304, 14, 29110, 7.4, 4.5, 6.19, 8.2, 2.01, 0.07, 0, 
10, 4, MN400, 15, 1544, 6.8, 4.1, 6.82, 6.99, 0.17, 0.06, 0, 
10, 4, MN401, 16, 15305, 6.8, 4.1, 6.15, 8.01, 1.85, 0.06, 0, 
10, 4, MN402, 17, 27990, 6.8, 4.1, 4.72, 5.1, 0.38, 0.06, 0, 
10, 4, MN403, 18, 1292, 6.8, 4.1, 6.98, 6.59, -0.39, 0.06, 0, 
10, 4, MN404, 19, 108539, 6.8, 4.1, 6.04, 6.51, 0.47, 0.06, 0, 
10, 4, MN500, 20, 55, 6.3, 4.7, 4.64, 10.13, 5.49, 0.06, 0, 
10, 4, MN504, 21, 14401, 6.3, 4.7, 7.29, 8.55, 1.25, 0.06, 0, 
10, 5, MN101, 1, 10773, 9.6, 11.2, 14.6, 14, -0.6, 0.08, 0, 
10, 5, MN102, 2, 8590, 9.6, 11.2, 22.87, 8.18, -14.69, 0.08, 0.24, 
10, 5, MN103, 3, 8809, 9.6, 11.2, 19.36, 7.86, -11.5, 0.08, 0.21, 
10, 5, MN104, 4, 5138, 9.6, 11.2, 25.63, 9.66, -15.97, 0.08, 0.14, 
10, 5, MN200, 5, 7713, 9.2, 10.9, 17.38, 10.2, -7.17, 0.08, 0.29, 
10, 5, MN201, 6, 42783, 9.2, 10.9, 16.38, 9.22, -7.16, 0.08, 0.13, 
10, 5, MN202, 7, 17504, 9.2, 10.9, 15, 8.37, -6.63, 0.08, 0.18, 
10, 5, MN203, 8, 1202, 9.2, 10.9, 21.04, 8.53, -12.51, 0.08, 0.42, 
10, 5, MN204, 9, 14335, 9.2, 10.9, 18.91, 6.8, -12.11, 0.08, 0.27, 
10, 5, MN300, 10, 8832, 9.9, 11.9, 19.54, 11.61, -7.92, 0.08, 0.44, 
10, 5, MN301, 11, 41134, 9.9, 11.9, 19.53, 10.36, -9.16, 0.08, 0.18, 
10, 5, MN302, 12, 61583, 9.9, 11.9, 19.9, 8.18, -11.72, 0.08, 0.23, 
10, 5, MN303, 13, 10582, 9.9, 11.9, 22.25, 9.36, -12.88, 0.08, 0.23, 
10, 5, MN304, 14, 29110, 9.9, 11.9, 21.16, 12.79, -8.37, 0.08, 0.2, 
10, 5, MN400, 15, 1544, 9.5, 11.8, 27.41, 11.04, -16.38, 0.08, 0.2, 
10, 5, MN401, 16, 15305, 9.5, 11.8, 17.86, 12.64, -5.21, 0.08, 0.52, 
10, 5, MN402, 17, 27990, 9.5, 11.8, 15.88, 8.11, -7.77, 0.08, 0.28, 
10, 5, MN403, 18, 1292, 9.5, 11.8, 24.5, 10.45, -14.05, 0.08, 0.3, 
10, 5, MN404, 19, 108539, 9.5, 11.8, 21.26, 11.12, -10.13, 0.08, 0.2, 
10, 5, MN500, 20, 55, 8.7, 12.3, 15.76, 15.79, 0.03, 0.07, 0.37, 
10, 5, MN504, 21, 14401, 8.7, 12.3, 22.35, 13.44, -8.91, 0.07, 0.31, 
10, 6, MN101, 1, 10773, 12.9, 17.3, 41.22, 19.76, -21.46, 0.1, 0.21, 
10, 6, MN102, 2, 8590, 12.9, 17.3, 23.36, 11.6, -11.75, 0.1, 0.13, 
10, 6, MN103, 3, 8809, 12.9, 17.3, 24.99, 11.14, -13.85, 0.1, 0.13, 
10, 6, MN104, 4, 5138, 12.9, 17.3, 38.87, 13.73, -25.14, 0.1, 0.1, 
10, 6, MN200, 5, 7713, 14.2, 17.4, 38.1, 14.83, -23.28, 0.11, 0.26, 
10, 6, MN201, 6, 42783, 14.2, 17.4, 39.43, 13.38, -26.05, 0.11, 0.13, 
10, 6, MN202, 7, 17504, 14.2, 17.4, 33.73, 12.15, -21.58, 0.11, 0.18, 
10, 6, MN203, 8, 1202, 14.2, 17.4, 31.53, 12.47, -19.05, 0.11, 0.25, 
10, 6, MN204, 9, 14335, 14.2, 17.4, 29.64, 9.93, -19.71, 0.11, 0.19, 
10, 6, MN300, 10, 8832, 13.3, 18, 40.05, 16.53, -23.52, 0.1, 0.27, 
10, 6, MN301, 11, 41134, 13.3, 18, 43.93, 14.66, -29.27, 0.1, 0.14, 
10, 6, MN302, 12, 61583, 13.3, 18, 24.97, 11.63, -13.35, 0.1, 0.14, 
10, 6, MN303, 13, 10582, 13.3, 18, 37.38, 13.3, -24.08, 0.1, 0.15, 
10, 6, MN304, 14, 29110, 13.3, 18, 44.84, 18.22, -26.62, 0.1, 0.17, 
10, 6, MN400, 15, 1544, 13.4, 18.1, 53.62, 15.86, -37.76, 0.1, 0.18, 
10, 6, MN401, 16, 15305, 13.4, 18.1, 43.19, 18.17, -25.02, 0.1, 0.41, 
10, 6, MN402, 17, 27990, 13.4, 18.1, 26.11, 11.7, -14.41, 0.1, 0.2, 
10, 6, MN403, 18, 1292, 13.4, 18.1, 37.22, 15.08, -22.14, 0.1, 0.14, 
10, 6, MN404, 19, 108539, 13.4, 18.1, 40.63, 16.09, -24.54, 0.1, 0.17, 
10, 6, MN500, 20, 55, 13.1, 18.4, 56.76, 22.41, -34.36, 0.1, 0.35, 
10, 6, MN504, 21, 14401, 13.1, 18.4, 50.79, 19.18, -31.61, 0.1, 0.25, 
20, 7, MN101, 1, 10773, 12.2, 18.2, 58.23, 19.78, -38.46, 0.09, 0, 
20, 7, MN102, 2, 8590, 12.2, 18.2, 33.08, 11.71, -21.37, 0.09, 0.14, 
20, 7, MN103, 3, 8809, 12.2, 18.2, 34.06, 11.13, -22.93, 0.09, 0.13, 
20, 7, MN104, 4, 5138, 12.2, 18.2, 41.26, 14.1, -27.16, 0.09, 0.09, 
20, 7, MN200, 5, 7713, 14.3, 19.2, 60.99, 16.63, -44.36, 0.11, 0.18, 
20, 7, MN201, 6, 42783, 14.3, 19.2, 56.05, 14.21, -41.84, 0.11, 0.11, 
20, 7, MN202, 7, 17504, 14.3, 19.2, 50.03, 13.07, -36.96, 0.11, 0.17, 
20, 7, MN203, 8, 1202, 14.3, 19.2, 35.14, 12.88, -22.26, 0.11, 0.15, 
20, 7, MN204, 9, 14335, 14.3, 19.2, 36.51, 10.53, -25.98, 0.11, 0.14, 
20, 7, MN300, 10, 8832, 13.8, 19.1, 53.81, 17.26, -36.55, 0.1, 0.18, 
20, 7, MN301, 11, 41134, 13.8, 19.1, 54.98, 15.13, -39.85, 0.1, 0.12, 
20, 7, MN302, 12, 61583, 13.8, 19.1, 40.68, 11.93, -28.75, 0.1, 0.16, 
20, 7, MN303, 13, 10582, 13.8, 19.1, 45.52, 13.88, -31.65, 0.1, 0.13, 
20, 7, MN304, 14, 29110, 13.8, 19.1, 54.82, 18.91, -35.91, 0.1, 0.16, 
20, 7, MN400, 15, 1544, 14.8, 19.7, 64.72, 17.5, -47.22, 0.11, 0.17, 
20, 7, MN401, 16, 15305, 14.8, 19.7, 66.07, 19.16, -46.91, 0.11, 0.35, 
20, 7, MN402, 17, 27990, 14.8, 19.7, 43.72, 12.3, -31.42, 0.11, 0.24, 
20, 7, MN403, 18, 1292, 14.8, 19.7, 51.79, 15.94, -35.85, 0.11, 0.1, 
20, 7, MN404, 19, 108539, 14.8, 19.7, 52.11, 17.33, -34.78, 0.11, 0.16, 
20, 7, MN500, 20, 55, 15.4, 20, 92.71, 25.71, -66.99, 0.11, 0.27, 
20, 7, MN504, 21, 14401, 15.4, 20, 67.62, 20.71, -46.91, 0.11, 0.24, 
